ax,ay,az,gx,gy,gz,mx,my,mz,q_gt_w,q_gt_x,q_gt_y,q_gt_z
0.584384288003836,1.0703902122654374,8.974228125378163,-0.46659981288666796,0.8841960163650914,0.5827165680218508,9.00828008170441,-5.404983293098213,-43.30382513850152,0.4966618622725507,0.03429202760355992,-0.051001564362099606,0.8657654947151784
0.47451228800383594,1.0183972122654374,8.461165125378162,-0.5006895838366212,0.8074957770569486,0.5528888911052677,10.04650728048766,-6.088486551348383,-43.828022623283225,0.495938181064155,0.03269980155473686,-0.05109471674578152,0.8662363265655205
0.3783742880038359,0.5534032122654374,8.264965125378161,-0.5326483077698894,0.6743323911175373,0.5262569120490862,11.084734479270914,-6.77198980959856,-44.35222010806493,0.49519980631236393,0.03129795566608898,-0.051372976428089696,0.8666939523801005
0.27340728800383585,0.05015021226543746,8.015791125378161,-0.5624759846864724,0.5560845889656695,0.5166698184678814,10.19482545174241,-6.923879422543039,-43.97779333322085,0.49443437746804425,0.030271856505882582,-0.05201664724974567,0.867128900158662
0.3067612880038358,-0.2853517877345626,8.159017125378163,-0.5880433128989375,0.39415992228264346,0.5017542346803379,9.30491642421391,-7.075769035487526,-43.60336655837678,0.493667839977006,0.0292456894685303,-0.05266020143694436,0.8675619036152801
0.45096828800383576,-0.5100007877345626,8.279680125378162,-0.6061545945468827,0.2748474692870591,0.4953628389595346,9.230757338586535,-6.468210583709586,-43.60336655837678,0.4929125023798508,0.028484963793824772,-0.05354885905052775,0.8679622062795621
0.5706502880038357,-0.7974337877345627,8.527873125378163,-0.6200020368322057,0.14381513036433285,0.49323179194284955,9.156598252959157,-5.860652131931659,-43.60336655837678,0.4921566988870939,0.027736481202555383,-0.054448767084443184,0.8683592592435707
0.7089712880038357,-0.9838237877345628,8.432716125378162,-0.6253287817092923,0.06817954189990658,0.4996249329929048,9.156598252959157,-5.860652131931659,-43.2289397835327,0.49137462034893403,0.02713814908370508,-0.0552529529408794,0.8687701735974623
1.0689982880038358,-1.1711947877345628,8.326768125378162,-0.616806338971804,0.015980234631260158,0.5187991201553145,9.156598252959157,-5.860652131931659,-42.85451300868863,0.4905730531803386,0.026650764660384955,-0.05598639710797297,0.8691911985145766
1.4035192880038356,-1.219263787734563,8.466070125378163,-0.605088198373914,-0.014913838458291471,0.5496931932448661,9.453234595468658,-6.164431357820626,-43.2289397835327,0.4897356419268252,0.026179863551934197,-0.056728021880855246,0.8696295460162378
